KBAManufacturerID,KBAManufacturerName,TotalCount
0603,VOLKSWAGEN-VW,10406391
0005,BAYER.MOT.WERKE-BMW,4463094
8566,FORD (D),3571460
0588,AUDI,3096804
1313,DAIMLER (D),3090802
0035,OPEL,2825518
8004,SKODA (CZ),2644547
3333,RENAULT (F),1833879
7593,SEAT (E),1520079
5013,TOYOTA EUROPE (B),1167064
2222,MERCEDES-BENZ,1072880
3003,PEUGEOT (F),993384
7801,STEMA,904695
7118,MAZDA (J),817585
1844,OPEL AUTOMOBILE,773682
3001,CITROEN (F),767825
4136,FIAT (I),695549
7721,HUMBAUR,675644
1349,HYUNDAI MOTOR (CZ),674657
8212,DACIA (RO),667554
0710,DAIMLERCHRYSLER (D),642545
1329,NISSAN (CH),629737
1727,FCA ITALY (I),585036
9101,VOLVO (S),534612
0999,DAIMLERCHRYSLER (D),517080
7102,SUZUKI (J),516075
1889,PSA AUTOMOBILES (F),513025
7100,HONDA MOTOR (J),409964
5984,HYUNDAI (TR),399727
0600,VOLKSWAGEN-VW,388305
6115,BOECKMANN,383268
0583,PORSCHE,365847
1260,KIA MOTORS (SK),361316
4013,PIAGGIO (I),351706
8253,KIA MOTOR (ROK),346167
8252,HYUNDAI MOTOR (ROK),324554
9702,SARIS (NL),303646
7101,YAMAHA (J),299657
8111,TPV PRIKOLICE (SLO),264561
8306,MAGYAR SUZUKI (H),264465
7103,KAWASAKI (J),261465
7107,MITSUBISHI (J),256226
3004,RENAULT (F),214784
6007,KTM (A),198716
0708,DAIMLERCHRYSLER (D),196971
1008,HARLEY-DAVIDSON(USA),195382
7431,MITSUBISHI (THA),183342
0091,KLOECKNER-H-DEUTZ,177481
0517,"FENDT,XAVER",170424
7686,WM MEYER,166184
0039,OPEL,165518
1480,TESLA (USA),163901
0404,HEINEMANN,145579
7765,KOCH,144248
2131,HONDA (UK),133066
4124,HONDA (I),130765
5048,TOYOTA MEM (B),129691
1590,JAGUAR LAND ROVER (UK),128057
0637,WESTFALIA-WERKE,124789
8307,AUDI (H),112766
0513,HOBBY-WOHNWAGENWERK,112108
9755,ANSSEMS (NL),110797
1128,DEERE (USA),109260
8357,HYUNDAI MOTOR (IND),107095
8638,UNSINN FZ-TECHNIK,103785
3144,NISSAN EUROPE (F),103422
8749,AGCO (D),100316
9609,BRENDERUP (DK),96308
0709,DAIMLER-BENZ,94935
1004,CHRYSLER (USA),94779
0617,"AUWAERTER,PAUL",93455
2014,TRIUMPH (UK),91821
7432,THAI HONDA (THA),90255
4042,DUCATI (I),87573
7884,STEDELE,82473
3029,MBK (F),81262
9758,MITSUBISHI (NL),80531
1726,FCA (USA),78472
1691,BRENDERUP (S),77333
7106,FUJI HEAVY IND.(J),75067
6024,PONGRATZ (A),74914
0747,KRONE,74739
9881,KNAUS TABBERT,74194
2234,KIA (SK),73578
1581,SCHMITZ CARGOBULL,73414
1566,FORD (AUS),73021
7104,TOYOTA (J),72728
1013,INTER HARV-IHC (USA),70195
0928,FORD (D),69430
8260,GM DAEWOO (ROK),69402
0009,DAIMLER-BENZ,69320
2233,KIA (ROK),69122
2228,NISSAN AUTOMOTIVE (F),68601
8722,FENDT CARAVAN,67678
9891,SMART,66098
7475,HONDA (RC),61568
5047,CNH (L),60885
0913,INTER HARV.-IHC (D),60062
9227,SORELPOL (PL),58104
6811,BARTHAU ANHAENGERBAU,57114
7111,DAIHATSU (J),54601
1044,THULE (DK),53137
4001,FIAT (I),53042
8265,GM KOREA,51251
7909,BMW M,50923
0008,DEERE (D),50380
8009,AGADOS (CZ),48253
0544,EICHER,43094
7070,DAIMLER TRUCK,42481
