KBA,WMI1,WMI2,Name,FullName,Location
0004,W09,W18,WUERZ,Bernd Würz,Pfinztal
0005,WMW,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PKW-MINI),MUENCHEN
0005,95V,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG,MÜNCHEN
0005,WBM,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (KRAFTRAEDER),MUENCHEN
0005,WBS,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WBW,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WBX,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WBY,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WBZ,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WB1,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (KRAFTRAEDER),MUENCHEN
0005,WB3,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (KRAFTRAEDER),MUENCHEN
0005,WB4,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (KRAFTRAEDER),MUENCHEN
0005,WB5,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MUENCHEN
0005,WB6,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENKRAFTWAGEN),MÜNCHEN
0005,3MF,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG,MÜNCHEN
0005,WBA,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PERSONENWAGEN),MUENCHEN
0005,WMZ,,BAYER.MOT.WERKE-BMW,BAYERISCHE MOTORENWERKE AG (PKW-MINI),MUENCHEN
