KBA,WMI1,WMI2,Name,FullName,Location
0597,WKR,,KREIDLER,KREIDLER FAHRZEUGE GMBH & CO KG (KRAFTRAEDER),KORNWESTHEIM
0598,,,GLAS,HANS GLAS GMBH ISARIA-MASCHINENFABRIK,DINGOLFING/BAYERN
0599,W09,T25,TROPPMANN,TROPPMANN (ANHAENGER),WEYHAUSEN
0600,AAV,,VOLKSWAGEN-VW,Volkswagen of South Africa Pty Ltd,Uitenhage/South Africa
0600,WVW,,VOLKSWAGEN-VW,VOLKSWAGEN AG (PERSONENWAGEN),WOLFSBURG/HANNOVER
0600,WV1,,VOLKSWAGEN-VW,VOLKSWAGEN AG,WOLFSBURG/HANNOVER
0600,WV2,,VOLKSWAGEN-VW,VOLKSWAGEN AG (KLEINBUSSE),WOLFSBURG/HANNOVER
0600,WV3,,VOLKSWAGEN-VW,VOLKSWAGEN AG,WOLFSBURG/HANNOVER
0600,1VW,,VOLKSWAGEN-VWOA(USA),Volkswagen of America(PASSENGER CAR),WARREN (MICHIGAN)/USA
0600,1V1,,VOLKSWAGEN-VWOA(USA),VOLKSWAGEN OF AMERICA (PICK UP TRUCK),WARREN (MICHIGAN)/USA
0600,1V2,,VOLKSWAGEN-VWOA(USA),VOLKSWAGEN OF AMERICA (RESERVE),WARREN (MICHIGAN)/USA
0600,1V3,,VOLKSWAGEN-VWOA(USA),VOLKSWAGEN OF AMERICA (RESERVE),WARREN (MICHIGAN)/USA
0600,3VV,,VOLKSWAGEN-VW (MEX),Volkswagen de Mexico SA de CV Multi Purpose Passenger Vehicl,Pueblo/Mexico
0600,3VW,,VOLKSWAGEN-VW (MEX),Volkswagen de Mexico SA de CV Passenger Car,Pueblo/Mexico
0600,8AV,,VOLKSWAGEN-VW,,
0600,8AW,,VOLKSWAGEN-VW,,
0600,8AX,,VOLKSWAGEN-VW,,
0600,8AY,,VOLKSWAGEN-VW,,
0600,9BW,,VOLKSWAGEN-VW,,
0601,,,ACKERMANN,ACKERMANN-FAHRZEUGBAU,WUPPERTAL-VOHWINKEL
0602,,,AHRWEILER,FRANZ AHRWEILER ANHAENGERBAU,KOELN-DELLBRUECK
0603,WVA,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVB,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVC,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVD,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVE,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVF,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVG,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVH,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVJ,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVK,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVL,,VOLKSWAGEN-VW,VOLKSWAGEN AG (ZWEI- ODER DREIRÅDRIGE FAHRZEUGE),WOLFSBURG
0603,WVN,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WVW,,VOLKSWAGEN-VW,VOLKSWAGEN AG (PERSONENWAGEN),WOLFSBURG
0603,WVO,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WV1,,VOLKSWAGEN-VW,VOLKSWAGEN AG,WOLFSBURG
0603,WV2,,VOLKSWAGEN-VW,VOLKSWAGEN AG (KLEINBUSSE),WOLFSBURG
0603,WV3,,VOLKSWAGEN-VW,VOLKSWAGEN AG,WOLFSBURG
0603,WV4,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WV5,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WV6,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WV7,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,WV8,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0603,XW8,,VOLKSWAGEN-VW,VOLKSWAGEN AG,WOLFSBURG
0603,3VW,,VOLKSWAGEN-VW,VOLKSWAGEN AG (RESERVE),WOLFSBURG
0604,W09,G23,GOTHAER FZ-ACHSEN,GFA GOTHAER FAHRZEUGACHSEN U.ANTRIEBSTECHN.GMBH(ANH),GOTHA
0605,,,FUECHSL,ANHAENGERFABRIK LUDWIG FUECHSL,DINGOLFING/BAYERN
0606,,,"MANDERBACH,PAUL",ANHAENGERFABRIK PAUL MANDERBACH,WISSENBACH/DILLKREIS
0607,W09,W32,WUNDERLE,HANS WUNDERLE FAHRZEUGBAU (ANHAENGER),RHEINFELDEN-HERTEN
0608,,,BADING,ERNST BADING ANHAENGERBAU,KOELN-BRAUNSFELD
0609,W09,B54,"BAUER,PETER",ZEPPELIN MOBILE SYSTEME GMBH BAUER FAHRZEUGBAU (ANH),KERPEN-SINDORF
0610,,,BAUMANN,JACOB BAUMANN ANHAENGER,LUDWIGSHAFEN/RHEIN
0611,W09,B00,BENNINGHOVEN,Benninghoven GmbH & Co. KG,Mülheim/Mosel
0612,,,SOLO,SOLO KLEINMOTOREN GMBH,SINDELFINGEN-MAICHINGEN
0613,,,BISCHOFF-WERKE,BISCHOFF-WERKE KG,RECKLINGHAUSEN-SUED
0614,WBL,,BLUMHARDT,BLUMHARDT FAHRZEUGKONTOR GMBH & CO KG (ANHAENGER),WUPPERTAL-VOHWINKEL
0615,,,BRUENING,"CARL BRUENING LASTWAGENFABRIK, INH.CARL HAHNE",WERNIGERODE/HARZ
0616,W09,B23,BUNGE,C.H.BUNGE KG GMBH & CO FAHRZEUGWERK (ANHAENGER),BREMEN-HEMELINGEN
0617,WAA,,"AUWAERTER,PAUL",PAUL AUWAERTER KG (ANHAENGER),SIMMOZHEIM KR.CALW
0618,WDT,,DETHLEFFS,Dethleffs GmbH & Co. KG,ISNY/ALLGAEU
0618,,,DETHLEFFS,DETHLEFFS KG WOHNWAGENWERK,ISNY/ALLGAEU
0619,,,LEWARK & VOIGT,LEWARK & VOIGT MASCHINENBAU-U.HANDELS-GMBH,RATINGEN
0620,,,DITTMANN,DITTMANN-FAHRZEUGBAU GMBH,BERLIN-WITTENAU
0621,,,DOEBBING,AUGUST DOEBBING ANHAENGER,MUENSTER/WESTFALEN
0622,W09,D16,DOEHLE,CHR.DOEHLE FAHRZEUGBAU GMBH & CO KG (ANHAENGER),BREMEN
