Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
1,Other Battery Info,BatteryInfo,NULL,<p>This field stores any other battery information that does not belong to any of the other battery related fields.</p>,0,Mechanical / Battery,string,NULL,NULL,NULL,Pattern,NULL
2,Battery Type,BatteryType,BatteryType,"<p>Battery type field stores the battery chemistry type for anode, cathode.</p>",0,Mechanical / Battery,lookup,NULL,NULL,1,Pattern,NULL
3,Bed Type,BedType,BedType,"<p>Bed type is the type of bed (the open back) used for pickup trucks. The common values are standard, short, long, extended.</p>",0,Exterior / Truck,lookup,NULL,NULL,1,Pattern,NULL
4,Cab Type,BodyCabType,BodyCab,"<p>Cab type applies to both pickup truck and other medium- and heavy-duty trucks. The cab or cabin of a truck is the inside space in a truck where the driver is seated. For pickup trucks, the cab type is categorized by the combination number of doors and number of rows for seating. For medium- and heavy-duty trucks (MDHD), the cab type is categorized by the relative location of engine and cab.</p><p>For pickup trucks, there are four cab types.</p><ul><li>Regular: 2 door, 1 row of seats</li><li>Extra/Super/Quad/Double/King/Extended: 2 doors, 2 rows of seats</li><li>Crew/Super Crew/Crew Max: 4 doors, 2 rows of seats</li><li>Mega: 4 doors, 2 rows of seats (with a bigger cabin than crew cab type)</li></ul><p>For medium- and heavy-duty (MDHD) trucks, there are several categories as listed below.</p><ul><li>Cab Beside Engine</li><li>CAE: Cab Above Engine</li><li>CBE: Cab Behind Engine</li><li>COE: Cab Over Engine or Flat Nose: Driver sits on top of the front axle and engine</li><li>LCF: Low Cab Forward</li><li>Conventional: Driver sits behind the engine</li><li>Non-Tilt</li><li>Tilt</li></ul>",0,Exterior / Truck,lookup,NULL,NULL,1,Pattern,NULL
5,Body Class,BodyClass,BodyStyle,"<p>Body Class presents the body type based on 49 CFR 565.12(b): ""Body type means the general configuration or shape of a vehicle distinguished by such characteristics as the number of doors or windows, cargo-carrying features and the roofline (e.g., sedan, fastback, hatchback)."" Definitions are not provided for individual body types in the regulation.</p>",0,Exterior / Body,lookup,NULL,NULL,1,Pattern,99
8,Country Name,Country,Country,<p>The country in which the manufacturer is located. This is taken from the WMI.</p>,0,NULL,lookup,NULL,NULL,NULL,NULL,NULL
9,Engine Number of Cylinders,EngineCylinders,NULL,<p>This is a numerical field to store the number of cylinders in an engine. Common values for passenger cars are 4 or 6.</p>,0,Engine,int,1,16,NULL,Pattern,88
10,Destination Market,DestinationMarket,DestinationMarket,<p>Destination Market is the market where the vehicle is intended to be sold.</p>,0,General,lookup,NULL,NULL,NULL,Pattern,NULL
11,Displacement (CC),DisplacementCC,NULL,<p>Engine displacement (in cubic centimeters) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>,0,Engine,decimal,15,9999,NULL,Pattern,98
12,Displacement (CI),DisplacementCI,NULL,<p>Engine displacement (in cubic inches) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>,0,Engine,decimal,10,3000,NULL,Pattern,NULL
