Id,Name
131,Motorcycle - Three Wheeled, Unknown Enclosure or Autocycle, Unknown Enclosure
130,Fire Apparatus
129,Street Sweeper
128,Ambulance
127,Off-road Vehicle - Construction Equipment
126,Off-road Vehicle - Farm Equipment
125,Motorcycle - Unknown Body Class
124,Off-road Vehicle - Golf Cart
119,Sport Utility Truck (SUT)
117,Limousine
116,Incomplete - Trailer Chassis
114,Motorcycle - Competition
113,Off-road Vehicle - Motocross (Off-road short distance, closed track racing)
112,Incomplete - Commercial Chassis
111,Step Van / Walk-in Van
110,Motorcycle - Underbone
109,Motorcycle - Cross Country
108,Motorhome
107,Incomplete - Bus Chassis
105,Off-road Vehicle - Multipurpose Off-Highway Utility Vehicle [MOHUV] or Recreational Off-Highway Vehicle [ROV]
