ID,DEF,NCIC_CODE,MAKE_TYPE,FROM_YEAR,TO_YEAR,MODE
99,Unknown Manufacturer,UNKN,4,2019,NULL,256
99,Unknown Make,UNKN,4,1994,NULL,-257
98,Other Make,OTHR,4,2010,NULL,-1
98,Other Make *,OTHR,4,1994,2009,-1
97,Not Reported,NR,4,2010,NULL,-1
94,Thomas Built,THMS,4,1999,NULL,-1
93,MCI,MCIN,4,1999,NULL,-1
92,Gillig,GILL,4,1999,NULL,-1
91,Eagle Coach,EAGL,4,1999,NULL,-1
90,Bluebird,BLUI,4,1999,NULL,-1
89,White/Autocar White/GMC,WHGM,3,1994,NULL,-1
88,Iveco/Magirus,IVEC,3,2010,NULL,-1
88,Iveco/Magirus*,IVEC,3,1994,2009,-1
87,Peterbilt,PTRB,3,1994,NULL,-1
86,Mack,MACK,3,1994,NULL,-1
85,Kenworth,KW,3,1994,NULL,-1
84,International Harvester/Navistar,INTL,3,1994,NULL,-1
83,FWD,FWD,3,1994,NULL,-1
82,Freightliner,FRHT,3,1994,NULL,-1
81,Diamond Reo/Reo,DIAR,3,2010,NULL,-1
