MAKE,ID,DEF,MODEL_TYPE,INCLUDES,FROM_YEAR,TO_YEAR,MODE
1,999,Unknown,NULL,NULL,2019,NULL,256
2,999,Unknown (JEEP),NULL,NULL,1994,NULL,-1
2,999,Unknown,NULL,NULL,2019,NULL,256
3,999,Unknown (AM GENERAL),,,1994,NULL,-1
3,999,Unknown,NULL,NULL,2019,NULL,256
6,999,Unknown (CHRYSLER),,,1994,NULL,-1
6,999,Unknown,NULL,NULL,2019,NULL,256
7,999,Unknown (DODGE),,,1994,NULL,-1
7,999,Unknown,NULL,NULL,2019,NULL,256
8,999,Unknown (IMPERIAL),NULL,NULL,1994,1111,-1
8,999,Unknown,NULL,NULL,2019,NULL,256
9,999,Unknown (PLYMOUTH),,,1994,NULL,-1
9,999,Unknown,NULL,NULL,2019,NULL,256
10,999,Unknown (EAGLE),NULL,NULL,1994,1111,-1
10,999,Unknown,NULL,NULL,2019,NULL,256
12,999,Unknown (FORD),,,1994,NULL,-1
12,999,Unknown,NULL,NULL,2019,NULL,256
13,999,Unknown (LINCOLN),,,1994,NULL,-1
13,999,Unknown,NULL,NULL,2019,NULL,256
14,999,Unknown (MERCURY),,,1994,NULL,-1
