Id,ElementId,VehicleTypeId,DefaultValue,CreatedOn,UpdatedOn
188,25,9,10,2019-12-21 20:26:30.583,NULL
187,183,13,0,2019-12-21 20:26:30.583,NULL
186,180,13,0,2019-12-21 20:26:30.583,NULL
185,179,13,0,2019-12-21 20:26:30.583,NULL
184,178,13,0,2019-12-21 20:26:30.583,NULL
183,177,13,0,2019-12-21 20:26:30.583,NULL
182,175,13,0,2019-12-21 20:26:30.583,NULL
181,174,13,0,2019-12-21 20:26:30.583,NULL
180,173,13,0,2019-12-21 20:26:30.583,NULL
179,172,13,0,2019-12-21 20:26:30.583,NULL
178,171,13,0,2019-12-21 20:26:30.583,NULL
177,170,13,0,2019-12-21 20:26:30.583,NULL
176,149,13,0,2019-12-21 20:26:30.583,NULL
175,148,13,0,2019-12-21 20:26:30.583,NULL
174,140,13,0,2019-12-21 20:26:30.583,NULL
173,117,13,0,2019-12-21 20:26:30.583,NULL
172,116,13,0,2019-12-21 20:26:30.583,NULL
171,105,13,0,2019-12-21 20:26:30.583,NULL
170,104,13,0,2019-12-21 20:26:30.583,NULL
169,103,13,0,2019-12-21 20:26:30.583,NULL
