Id,Name
35,U.S., Puerto Rico, Canada
34,Mexico and Other Export Market (BUX) 
33,Arabian Countries
32,Rest of the World (ROW)
31,Canada and Other Export Market (BUX) 
30,Holland
29,United Kingdom (UK)
28,Canada, Mexico, Other Export Market (BUX)
27,Brazil
26,England
25,Australia
24,Continental US (excluding Hawaii and Alaska)
23,Alaska
22,Hawaii
21,U.S., Mexico, Other Export Market (BUX)
20,U.S., Other Export Market (BUX)
19,U.S., Mexico
18,U.S., Canada, Mexico
17,U.S.
16,U.S., Canada, Mexico, Other Export Market (BUX)
