Id,Name,Description
376,8.2TL,Detroit Diesel 8.2TL
375,8.2T,Detroit Diesel 8.2T
374,John Deere 6081H,John Deere: 6081H
373,JD-6081,John Deere: 6081
372,6081,John Deere: 6081
371,6-71,Detroit Diesel: 6-71
370,8V-92,Detroit Diesel: 8V-92
369,8V-71,Detroit Diesel: 8V-71
368,903,Cummins: 903
367,VT903,Cummins: VT903
366,K19,Cummins: K19
365,3306G,Caterpillar: CAT 3306G
364,QSL,Cummins: QSL
363,QSC,Cummins: QSC
362,QSB6.7,Cummins: QSB6.7
361,QSB4.5,Cummins: QSB4.5
360,ISB02,Cummins: ISB02
359,LTA-10,Cummins: LTA-10
358,BF 12,Deutz: BF 12
357,Series 2000 12V,MTU: S2000 12V
