Id,EngineModelId,ElementId,AttributeId,CreatedOn,UpdatedOn
2591,116,135,1,2023-11-28 15:03:56.517,NULL
2590,114,135,1,2023-11-28 15:03:16.773,NULL
2589,86,135,1,2023-11-28 15:01:31.247,NULL
2588,376,146,Detroit Diesel,2023-11-28 14:57:16.463,NULL
2587,376,135,1,2023-11-28 14:57:16.450,NULL
2586,376,64,2,2023-11-28 14:57:16.437,NULL
2585,376,24,1,2023-11-28 14:57:16.307,NULL
2584,376,17,4,2023-11-28 14:57:16.293,NULL
2583,376,13,8.2,2023-11-28 14:57:16.280,NULL
2582,376,9,8,2023-11-28 14:57:16.267,NULL
2581,375,146,Detroit Diesel,2023-11-28 14:56:44.647,NULL
2580,375,135,1,2023-11-28 14:56:44.487,NULL
2579,375,64,2,2023-11-28 14:56:44.473,NULL
2578,375,24,1,2023-11-28 14:56:44.460,NULL
2577,375,17,4,2023-11-28 14:56:44.447,NULL
2576,375,13,8.2,2023-11-28 14:56:44.433,NULL
2575,375,9,8,2023-11-28 14:56:44.407,NULL
2574,373,17,4,2023-04-28 14:41:17.343,NULL
2573,372,17,4,2023-04-28 14:41:01.233,NULL
2572,374,146,John Deere,2023-04-28 14:40:56.297,NULL
