Id,Name,SortOrder,MinRangeWeight,MaxRangeWeight
17,Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg),9,9001,1000
16,Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg),8,8001,9000
15,Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg),7,7001,8000
14,Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg),6,6001,7000
13,Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg),4,5001,6000
12,Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg),3,4001,5000
11,Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg),2,3001,4000
10,Class 1A: 3,000 lb or less (1,360 kg or less),1,0,3000
9,Class 8: 33,001 lb and above (14,969 kg and above),16,33001,99999999
8,Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg),15,26001,33000
7,Class 6: 19,501 - 26,000 lb (8,845 - 11,794 kg),14,19501,26000
6,Class 5: 16,001 - 19,500 lb (7,258 - 8,845 kg),13,16001,19500
5,Class 4: 14,001 - 16,000 lb (6,350 - 7,258 kg),12,14001,16000
4,Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg),11,10001,14000
2,Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg),10,6001,10000
1,Class 1: 6,000 lb or less (2,722 kg or less),5,0,6000
