Id,MakeId,ModelId,CreatedOn,UpdatedOn
35450,13826,37137,2025-11-12 15:30:21.420,NULL
35448,474,37135,2025-11-12 13:53:49.893,NULL
35447,13825,37134,2025-11-12 08:52:49.537,NULL
35446,474,37133,2025-11-10 15:35:01.710,2025-11-12 14:09:02.733
35445,474,37132,2025-11-10 13:36:52.487,NULL
35444,474,37131,2025-11-10 10:16:32.280,NULL
35443,13824,37130,2025-11-10 10:03:24.873,NULL
35441,13820,37128,2025-11-07 09:20:24.930,NULL
35440,474,37127,2025-11-06 15:21:34.350,NULL
35439,474,37126,2025-11-06 14:53:29.933,NULL
35438,474,37125,2025-11-06 14:45:17.223,NULL
35437,13817,37124,2025-11-06 14:11:03.317,NULL
35436,13802,37123,2025-11-05 15:14:11.187,NULL
35435,13802,37122,2025-11-05 15:13:56.143,NULL
35434,13802,37121,2025-11-05 15:13:43.333,NULL
35433,13802,37120,2025-11-05 15:13:26.823,NULL
35432,13802,37119,2025-11-05 15:13:12.827,NULL
35431,13802,37118,2025-11-05 15:13:04.610,NULL
35430,13061,37117,2025-11-05 10:13:47.353,NULL
35429,13060,37116,2025-11-05 10:13:39.523,NULL
