Id,VinSchemaId,Keys,ElementId,AttributeId,CreatedOn,UpdatedOn
2256769,23850,TE45F,34,TRX520FM6 (EPS),2025-11-12 15:59:30.070,NULL
2256768,23850,TE45E,34,TRX520FM6 (EPS),2025-11-12 15:59:10.763,NULL
2256767,23850,TE456,34,TRX520FM6 (EPS),2025-11-12 15:58:51.273,NULL
2256766,23850,TE455,34,TRX520FM6 (IRS, EPS),2025-11-12 15:58:31.090,NULL
2256765,23850,TE452,34,TRX520FM6 (EPS),2025-11-12 15:58:08.953,NULL
2256764,23850,TE451,34,TRX520FM6 (EPS),2025-11-12 15:57:49.097,NULL
2256763,23850,TE44Y,34,TRX520FM1,2025-11-12 15:57:30.700,NULL
2256762,23850,TE44T,34,TRX520FM2 (EPS),2025-11-12 15:57:16.993,NULL
2256761,23850,TE44R,34,TRX520FM2 (EPS),2025-11-12 15:56:51.537,NULL
2256760,23850,TE44K,34,TRX520FE2 (ES, EPS),2025-11-12 15:56:33.780,NULL
2256759,23850,TE44J,34,TRX520FE2 (ES, EPS),2025-11-12 15:56:11.987,NULL
2256758,23850,TE44H,34,TRX520FE2 (ES, EPS),2025-11-12 15:55:51.800,NULL
2256757,23850,TE44E,34,TRX520FM2 (EPS),2025-11-12 15:55:24.927,NULL
2256756,23850,TE44D,34,TRX520FM (EPS),2025-11-12 15:55:03.270,NULL
2256755,23850,TE44B,34,TRX520FM1,2025-11-12 15:54:44.483,NULL
2256754,23850,TE447,34,TRX520FE2 (ES, EPS),2025-11-12 15:54:28.160,NULL
2256753,23850,TE446,34,TRX520FE2 (ES, EPS),2025-11-12 15:54:01.890,NULL
2256752,23850,TE445,34,TRX520FM1,2025-11-12 15:53:21.170,NULL
2256751,23850,TE442,34,TRX520FM1,2025-11-12 15:53:04.890,NULL
2256750,23850,TE441,34,TRX520FM1,2025-11-12 15:52:21.567,NULL
