Id,VSpecSchemaPatternId,IsKey,ElementId,AttributeId,CreatedOn,UpdatedOn
272324,17371,0,190,1,2025-11-07 16:01:12.790,NULL
272323,17371,0,25,1,2025-11-07 16:01:12.010,NULL
272322,17540,0,190,2,2025-11-07 15:41:16.270,NULL
272321,17540,0,25,2,2025-11-07 15:41:15.710,NULL
272320,15192,0,190,1,2025-11-07 14:53:52.143,NULL
272319,15192,0,25,1,2025-11-07 14:53:51.563,NULL
272318,17566,0,190,1,2025-11-07 14:36:54.357,NULL
272317,17566,0,25,1,2025-11-07 14:36:54.060,NULL
272316,17619,0,190,1,2025-11-07 14:31:01.327,NULL
272315,17619,0,25,1,2025-11-07 14:31:00.940,NULL
272314,17618,0,190,1,2025-11-07 14:30:45.427,NULL
272313,17618,0,25,1,2025-11-07 14:30:44.893,NULL
272312,14972,0,190,1,2025-11-07 14:22:41.420,NULL
272311,14972,0,25,1,2025-11-07 14:22:40.900,NULL
272310,14973,0,190,1,2025-11-07 14:22:27.143,NULL
272309,14973,0,25,1,2025-11-07 14:22:26.623,NULL
272308,18669,0,180,1,2025-11-07 12:45:31.587,NULL
272307,18669,0,179,1,2025-11-07 12:45:31.573,NULL
272306,18669,0,178,3,2025-11-07 12:45:31.560,NULL
272305,18669,0,177,1,2025-11-07 12:45:31.543,NULL
