Id,MakeId,CreatedOn,UpdatedOn,VehicleTypeId,SourceDate,TobeQCed
6694,476,2025-11-06 18:13:03.617,NULL,2,NULL,NULL
6693,478,2025-11-06 09:56:09.853,2025-11-06 09:56:27.403,7,NULL,NULL
6692,478,2025-11-06 09:53:17.790,2025-11-06 09:53:36.993,2,NULL,NULL
6691,448,2025-11-05 13:59:42.797,2025-11-05 14:02:02.310,7,NULL,NULL
6690,448,2025-11-05 12:33:17.207,2025-11-05 12:33:34.703,3,NULL,NULL
6689,448,2025-11-05 12:03:56.507,2025-11-05 12:04:14.640,7,NULL,NULL
6688,523,2025-11-04 14:11:50.717,2025-11-04 14:12:09.580,2,NULL,NULL
6687,499,2025-11-03 14:07:03.780,2025-11-03 14:07:49.323,2,NULL,NULL
6686,474,2025-11-03 11:31:16.813,2025-11-03 11:31:40.917,2,NULL,NULL
6685,473,2025-11-03 10:25:35.443,2025-11-03 10:25:52.387,7,NULL,NULL
6684,485,2025-10-31 10:31:49.017,2025-10-31 10:36:08.723,7,NULL,NULL
6683,485,2025-10-31 10:27:51.450,2025-10-31 10:28:19.517,2,NULL,NULL
6682,485,2025-10-31 10:24:57.447,2025-10-31 10:25:22.563,7,NULL,NULL
6681,485,2025-10-31 10:17:53.133,2025-10-31 10:18:06.053,7,NULL,NULL
6680,485,2025-10-31 10:16:36.430,2025-10-31 10:17:26.517,7,NULL,NULL
6679,485,2025-10-31 10:15:23.423,2025-10-31 10:15:40.420,7,NULL,NULL
6678,485,2025-10-31 10:14:38.533,2025-10-31 10:14:52.273,7,NULL,NULL
6677,485,2025-10-31 10:13:50.260,2025-10-31 10:14:08.130,7,NULL,NULL
6676,485,2025-10-31 10:12:59.237,2025-10-31 10:13:19.167,7,NULL,NULL
6675,485,2025-10-31 10:12:18.217,2025-10-31 10:12:33.790,7,NULL,NULL
