Id,Descriptor,ModelYear,CreatedOn,UpdatedOn
75,W1W9ED3Y*NT,2022,2024-04-16 08:01:24.573,NULL
74,3BPPHL7X*RF,2024,2024-04-10 14:56:37.997,NULL
73,1XKYDL9X*RR,2024,2024-04-10 14:55:51.660,NULL
72,W1W8NB6Y*RT,2024,2024-02-08 14:58:03.627,NULL
71,W1W8ND6Y*RT,2024,2024-02-08 14:57:28.233,NULL
70,W1W8ND6Y*PT,2023,2024-02-08 14:56:47.287,NULL
69,W1W8ND3Y*PT,2023,2024-02-08 14:56:13.393,NULL
68,W1W8NC6Y*PT,2023,2024-02-08 14:55:46.373,NULL
67,W1W8NC3Y*PT,2023,2024-02-08 14:55:20.177,NULL
66,W1W8ED6Y*NT,2022,2024-02-08 14:54:42.590,NULL
65,W1W8EB6Y*NT,2022,2024-02-08 14:54:17.920,NULL
64,W1W8EC6Y*NP,2022,2024-02-08 14:53:48.117,NULL
63,W1W8ED3Y*NT,2022,2024-02-08 14:53:18.027,NULL
62,W1W8EB3Y*NT,2022,2024-02-08 14:52:52.807,NULL
61,W1W8EC6Y*NT,2022,2024-02-08 14:52:26.967,NULL
60,W1W8DB3Y*MT,2021,2024-02-08 14:51:44.423,NULL
59,W1W8ED3Y*MT,2021,2024-02-08 14:51:15.040,NULL
58,W1W8ED6Y*MT,2021,2024-02-08 14:50:47.653,NULL
57,W1W8EC6Y*MT,2021,2024-02-08 14:50:20.907,NULL
56,W1W8ED3Y*MP,2021,2024-02-08 14:49:48.343,NULL
