Id,VIN,CheckDigit,CreatedOn,UpdatedOn
23312,4S9BDETA2LB559700,1,2025-10-24 14:19:45.993,NULL
23311,PFDKB4AE1SF000139,1,2025-09-30 11:56:23.840,NULL
23310,PFDKB4AE6SF000136,1,2025-09-30 11:56:23.840,NULL
23309,PFDKB4AE2SF000134,1,2025-09-30 11:56:23.840,NULL
23308,PFDKB4AE0SF000133,1,2025-09-30 11:56:23.840,NULL
23307,PFDKB4AE9SF000132,1,2025-09-30 11:56:23.840,NULL
23306,PFDKB4AE5SF000130,1,2025-09-30 11:56:23.840,NULL
23305,PFDKB4AE9SF000129,1,2025-09-30 11:56:23.840,NULL
23304,PFDKB4AE3SF000126,1,2025-09-30 11:56:23.840,NULL
23303,PFDKB4AE8SF000123,1,2025-09-30 11:56:23.840,NULL
23302,PFDKB4AE4SF000121,1,2025-09-30 11:56:23.840,NULL
23301,PFDKB4AE6SF000119,1,2025-09-30 11:56:23.840,NULL
23300,PFDKB4AE4SF000118,1,2025-09-30 11:56:23.840,NULL
23299,PFDKB4AE2SF000117,1,2025-09-30 11:56:23.840,NULL
23298,PFDKB4AEXSF000138,1,2025-09-30 11:56:23.840,NULL
23297,PFDKB4AE8SF000137,1,2025-09-30 11:56:23.840,NULL
23296,PFDKB4AE4SF000135,1,2025-09-30 11:56:23.840,NULL
23295,PFDKB4AE7SF000131,1,2025-09-30 11:56:23.840,NULL
23294,PFDKB4AE7SF000128,1,2025-09-30 11:56:23.840,NULL
23293,PFDKB4AE1SF000125,1,2025-09-30 11:56:23.840,NULL
