Id,Name,sourcewmi,CreatedOn,UpdatedOn,TobeQCed
28743,SMI Innovation LSV Schema for KL9EF7 (MY2025-,NULL,2025-11-12 15:31:53.913,2025-11-12 15:37:39.063,NULL
28742,FL Custom Trailer Schema for 1F9610 (MY2025-,NULL,2025-11-12 08:54:18.453,2025-11-12 08:59:33.407,NULL
28741,Barter Enterprises LLC Trailer Schema for 4B9414 (MY2025-,NULL,2025-11-10 10:05:21.637,2025-11-10 10:09:47.213,NULL
28740,Fusine Investments Pty Ltd Trailer Schema for 6S4 (MY2024-,NULL,2025-11-10 08:41:01.403,2025-11-10 08:46:28.493,NULL
28739,H-CUSTOM WELD & MACHINE LLC Trailer Schema for 1H9791 MY(2021-,NULL,2025-11-07 09:44:44.267,2025-11-07 10:10:29.367,NULL
28738,Rude Boy Trailers LLC Schema for 4R9080 MY(2025-,NULL,2025-11-06 14:14:00.173,2025-11-06 14:20:36.830,NULL
28737,Nissan Pathfinder Schema for 5N1 (MY2026-,NULL,2025-11-06 11:22:47.060,2025-11-06 11:47:23.847,NULL
28736,Nissan Altima Schema for 1N4 (MY2026-,NULL,2025-11-06 11:09:43.787,2025-11-06 11:27:18.207,NULL
28735,Toyota Sienna Schema for 5TD (MY2026-,NULL,2025-11-05 14:03:32.427,2025-11-05 14:53:00.383,NULL
28734,Toyota Tacoma Schema for 3TM/3TY (MY2026-,NULL,2025-11-05 12:35:53.647,2025-11-05 13:53:12.423,NULL
28733,Toyota Sequoia Schema for 7SV (MY2026-,NULL,2025-11-05 12:05:03.937,2025-11-05 12:29:36.810,NULL
28732,Zhejiang Jianying Locomotive Motorcycle Schema for HT5 (MY2025-,NULL,2025-11-05 09:28:20.397,2025-11-05 12:24:48.967,NULL
28731,DNJ Trailers LLC Schema for 1D9870 (MY2026-,NULL,2025-11-05 08:57:49.657,2025-11-05 09:21:55.147,NULL
28730,Quickloadz Container Systems Truck Schema for 1Z9744 (MY2026-,NULL,2025-11-05 08:20:07.570,2025-11-05 11:57:06.793,NULL
28729,JRS Food Trailers LLC Schema for 1J9584 MY(2025-,NULL,2025-11-04 15:42:43.130,2025-11-04 15:48:25.113,NULL
28728,Spectrum Sports International Trailer Schema for 4S9031 (MY2006-,NULL,2025-11-04 15:31:03.623,2025-11-06 10:13:57.953,NULL
28727,Fantic Motorcycle Schema for ZFM (MY2025-,NULL,2025-11-04 14:48:13.437,2025-11-04 15:26:37.287,NULL
28726,Subaru WRX Schema for JF1 (MY2026-,NULL,2025-11-04 14:13:18.963,2025-11-04 14:27:13.620,NULL
28725,Chongqing Charming Motorcycle Schema for LTE (MY2025-,NULL,2025-11-04 12:57:31.613,2025-11-05 08:03:15.667,NULL
28724,Indian Motorcycle Schema for 56K (MY2026-,NULL,2025-11-04 10:12:02.530,2025-11-04 14:32:27.527,NULL
