id,WMI,Year,Position,Char
2083669440,1N9213,2026,11,B
2083669439,1N9213,2026,9,|
2083669438,1N9213,2026,8,9
2083669437,1N9213,2026,8,8
2083669436,1N9213,2026,8,7
2083669435,1N9213,2026,8,6
2083669434,1N9213,2026,8,5
2083669433,1N9213,2026,8,4
2083669432,1N9213,2026,8,3
2083669431,1N9213,2026,8,2
2083669430,1N9213,2026,8,1
2083669429,1N9213,2026,8,0
2083669428,1N9213,2026,7,9
2083669427,1N9213,2026,7,8
2083669426,1N9213,2026,7,7
2083669425,1N9213,2026,7,6
2083669424,1N9213,2026,7,5
2083669423,1N9213,2026,7,4
2083669422,1N9213,2026,7,3
2083669421,1N9213,2026,7,2
