Id,Wmi,ManufacturerId,MakeId,VehicleTypeId,CreatedOn,UpdatedOn,CountryId,PublicAvailabilityDate,TruckTypeId,ProcessedOn,NonCompliant,NonCompliantSetByOVSC
14875,KL9EF7,24390,NULL,10,2025-11-12 15:31:13.487,NULL,15,2025-11-12 00:00:00.000,NULL,2025-11-12 16:00:16.840,0,0
14874,1F9610,25116,NULL,6,2025-11-12 08:54:52.137,NULL,6,2025-11-12 00:00:00.000,NULL,2025-11-12 09:00:00.113,0,0
14873,4B9414,24743,NULL,6,2025-11-10 10:04:18.003,NULL,6,2025-11-10 00:00:00.000,NULL,2025-11-10 10:30:12.153,0,0
14872,6S4,24650,NULL,6,2025-11-10 08:36:48.907,2025-11-10 08:39:01.740,14,2025-11-10 00:00:00.000,NULL,2025-11-10 09:00:00.987,0,0
14871,1H9791,25106,NULL,6,2025-11-07 09:20:55.530,NULL,NULL,2025-11-07 00:00:00.000,NULL,2025-11-11 15:00:02.423,0,0
14870,4R9080,25109,NULL,6,2025-11-06 14:12:17.023,NULL,NULL,2025-11-06 00:00:00.000,NULL,2025-11-10 18:25:12.860,0,0
14869,1D9870,25107,NULL,6,2025-11-05 08:56:44.443,NULL,6,2025-11-05 00:00:00.000,NULL,2025-11-09 13:30:06.953,0,0
14868,1Z9744,13619,NULL,3,2025-11-05 08:18:25.707,NULL,6,2025-11-05 00:00:00.000,NULL,2025-11-09 16:00:06.517,0,0
14867,1J9584,24877,NULL,6,2025-11-04 15:42:30.537,NULL,NULL,2025-11-04 00:00:00.000,NULL,2025-11-12 20:05:04.923,0,0
14866,4S9031,25104,NULL,6,2025-11-04 15:30:30.313,NULL,6,2025-11-04 00:00:00.000,NULL,2025-11-12 20:05:04.900,0,0
14865,ZFM,25066,NULL,1,2025-11-04 14:47:42.233,NULL,9,2025-11-04 00:00:00.000,NULL,2025-11-12 19:55:08.077,0,0
14864,4B9415,20400,NULL,6,2025-11-03 15:07:08.557,NULL,6,2025-11-03 00:00:00.000,NULL,2025-11-11 20:05:01.497,0,0
14863,4S9659,25103,NULL,6,2025-11-03 15:00:31.357,NULL,6,2025-11-03 00:00:00.000,NULL,2025-11-11 20:05:01.477,0,0
14862,1J9586,25105,NULL,6,2025-11-03 13:42:03.840,NULL,NULL,2025-11-03 00:00:00.000,NULL,2025-11-11 19:35:01.110,0,0
14861,4C9325,22641,NULL,6,2025-11-03 10:37:02.910,NULL,NULL,2025-11-03 00:00:00.000,NULL,2025-11-11 18:45:01.650,0,0
14860,1M9967,3833,NULL,3,2025-11-03 09:52:06.210,NULL,NULL,2025-11-03 00:00:00.000,NULL,2025-11-11 18:35:02.290,0,0
14859,1D9927,25092,NULL,6,2025-10-30 11:35:26.180,NULL,6,2025-10-30 00:00:00.000,NULL,2025-11-11 20:15:09.510,0,0
14858,3HU,25050,NULL,6,2025-10-29 12:16:33.590,NULL,12,2025-10-29 00:00:00.000,NULL,2025-11-10 20:25:06.850,0,0
14857,1W9710,24953,NULL,6,2025-10-28 15:17:15.543,NULL,NULL,2025-10-28 00:00:00.000,NULL,2025-11-09 21:25:01.847,0,0
14856,1V9272,23243,NULL,3,2025-10-27 15:22:12.403,NULL,6,2025-10-27 00:00:00.000,NULL,2025-11-12 23:05:43.690,0,0
