Id,WmiId,VinSchemaId,YearFrom,YearTo,OrgId
56984,14875,28743,2025,NULL,49537
56983,14874,28742,2025,NULL,49533
56982,14873,28741,2025,NULL,49527
56981,14872,28740,2024,NULL,49521
56980,14871,28739,2021,NULL,49504
56979,14870,28738,2025,NULL,49524
56978,2130,28737,2026,NULL,49523
56977,2126,28736,2026,NULL,49523
56976,2335,28735,2026,NULL,49291
56975,11954,28734,2026,NULL,49290
56974,2262,28734,2026,NULL,49290
56973,13309,28733,2026,NULL,49030
56972,14265,28732,2025,NULL,49514
56971,14869,28731,2026,NULL,49512
56970,14868,28730,2026,NULL,49516
56969,14867,28729,2025,NULL,49515
56968,14866,28728,2006,NULL,49522
56967,14865,28727,2025,NULL,49508
56966,2284,28726,2026,NULL,49511
56965,14768,28725,2025,NULL,49507
