Id,ManufacturerId,MakeId
80,955,441
81,956,440
82,959,443
83,958,442
84,960,445
85,961,446
87,962,448
88,964,449
89,964,450
90,965,451
91,968,452
92,967,452
93,966,452
94,969,453
95,971,455
97,970,454
98,979,460
99,977,460
100,976,460
101,980,461
102,982,463
103,983,466
104,975,459
105,984,472
107,987,474
108,990,474
109,991,474
111,992,474
112,986,460
113,995,477
114,994,477
115,985,460
116,988,474
117,981,462
118,978,460
119,976,464
120,976,465
121,977,464
122,977,465
123,979,464
124,979,465
125,976,473
126,984,467
127,984,468
128,984,470
129,984,469
130,995,476
131,994,476
132,957,452
133,997,478
134,996,478
135,999,478
136,1002,477
137,1002,476
138,994,481
139,994,483
140,995,482
141,1003,484
142,1011,485
143,1006,485
144,1011,447
145,1014,486
146,1015,487
147,1025,450
148,998,479
149,1026,489
151,1027,490
152,1029,492
153,1030,494
154,1029,493
155,1029,496
156,1034,498
157,1034,499
158,1035,500
159,1038,501
161,1040,503
162,1041,473
163,1044,505
164,1045,506
165,1047,507
167,1048,509
168,1050,511
169,1042,449
170,1042,504
171,1052,481
172,1053,513
173,1054,481
174,1056,514
175,1057,515
176,1057,448
177,962,515
178,1058,517
179,1060,518
180,1061,519
181,1059,448
182,1062,448
183,1063,448
185,1075,523
186,1079,444
188,1028,524
189,1028,526
190,1028,522
191,1028,525
192,1074,526
193,1074,524
194,1074,525
195,1074,522
196,1080,527
198,1081,528
202,1083,473
203,1084,531
204,1085,448
205,1087,448
206,1088,448
207,1042,533
208,1062,536
209,1090,448
210,1091,448
211,1032,532
212,1096,541
213,1095,540
216,1092,537
217,1089,534
218,1086,535
219,1098,542
222,1107,547
223,1108,548
224,1109,514
225,1110,550
226,1115,551
227,1116,552
229,1118,554
230,1119,555
231,1120,556
232,1121,557
233,1122,558
234,1123,559
235,1124,560
236,1127,561
237,1128,563
238,1130,564
240,1132,566
241,1132,567
242,1133,568
244,1135,570
245,1136,571
246,1031,495
247,1031,532
248,1137,572
249,1139,574
250,1140,575
251,1141,576
252,1142,577
253,1144,579
254,1145,448
255,1078,525
256,1146,580
257,1146,476
258,1146,450
259,1023,476
260,1023,449
261,1023,450
262,1147,482
263,1147,582
264,1148,582
265,1148,502
266,1148,583
267,1148,454
268,1148,584
269,1148,568
270,1148,482
271,1150,582
272,1152,510
273,1153,564
275,1155,448
276,1158,589
277,1157,588
281,1134,591
282,1163,592
283,1164,485
285,1132,594
289,1166,599
290,1167,600
291,1168,601
292,1169,603
293,1171,542
294,1171,467
295,1171,472
296,1174,606
297,1175,607
298,1176,608
299,1181,609
300,1183,610
301,1192,611
302,1196,612
304,1189,614
306,1199,616
307,1198,615
308,1201,617
309,1202,618
310,1203,619
