TABLE_NAME,COLUMN_NAME,DATA_TYPE
BlindSpotMonitoring,Id,int
BlindSpotMonitoring,Name,varchar
BlindSpotIntervention,Id,int
BlindSpotIntervention,Name,varchar
BedType,Id,int
BedType,Name,varchar
BatteryType,Id,int
BatteryType,Name,varchar
AxleConfiguration,Id,int
AxleConfiguration,Name,varchar
AutoReverseSystem,Id,int
AutoReverseSystem,Name,varchar
AutomaticPedestrainAlertingSound,Id,int
AutomaticPedestrainAlertingSound,Name,varchar
AutoBrake,Id,int
AutoBrake,Name,varchar
AirBagLocKnee,Id,int
AirBagLocKnee,Name,varchar
AirBagLocFront,Id,int
AirBagLocFront,Name,varchar
AirBagLocations,Id,int
AirBagLocations,Name,varchar
AdaptiveDrivingBeam,Id,int
AdaptiveDrivingBeam,Name,varchar
AdaptiveCruiseControl,Id,int
AdaptiveCruiseControl,Name,varchar
ABS,Id,int
ABS,Name,varchar
VinDescriptor,Id,int
VinDescriptor,Descriptor,varchar
VinDescriptor,ModelYear,int
VinDescriptor,CreatedOn,datetime
VinDescriptor,UpdatedOn,datetime
VinException,Id,int
VinException,VIN,varchar
VinException,CheckDigit,bit
VinException,CreatedOn,datetime
VinException,UpdatedOn,datetime
VehicleSpecSchema_Year,Id,int
VehicleSpecSchema_Year,VehicleSpecSchemaId,int
VehicleSpecSchema_Year,Year,int
VehicleSpecSchema_Model,Id,int
VehicleSpecSchema_Model,VehicleSpecSchemaId,int
VehicleSpecSchema_Model,ModelId,int
WMIYearValidChars_CacheExceptions,WMI,varchar
WMIYearValidChars_CacheExceptions,CreatedOn,datetime
WMIYearValidChars_CacheExceptions,Id,int
WMIYearValidChars,id,int
WMIYearValidChars,WMI,varchar
WMIYearValidChars,Year,int
WMIYearValidChars,Position,int
WMIYearValidChars,Char,varchar
Conversion,Id,int
Conversion,FromElementId,int
Conversion,ToElementId,int
Conversion,Formula,nvarchar
DecodingOutput,Id,int
DecodingOutput,AddedOn,datetime
DecodingOutput,GroupName,varchar
DecodingOutput,Variable,varchar
DecodingOutput,Value,varchar
DecodingOutput,Keys,varchar
DecodingOutput,WmiId,int
DecodingOutput,PatternId,int
DecodingOutput,VinSchemaId,int
DecodingOutput,ElementId,int
DecodingOutput,AttributeId,varchar
DecodingOutput,CreatedOn,datetime
DecodingOutput,Code,varchar
DecodingOutput,DataType,varchar
DecodingOutput,Decode,varchar
DecodingOutput,Source,varchar
Element,Id,int
Element,Name,varchar
Element,Code,varchar
Element,LookupTable,varchar
Element,Description,varchar
Element,IsPrivate,bit
Element,GroupName,varchar
Element,DataType,varchar
Element,MinAllowedValue,int
Element,MaxAllowedValue,int
Element,IsQS,bit
Element,Decode,varchar
Element,weight,int
