Id,Wmi,ManufacturerId,MakeId,VehicleTypeId,CreatedOn,UpdatedOn,CountryId,PublicAvailabilityDate,TruckTypeId,ProcessedOn,NonCompliant,NonCompliantSetByOVSC
1995,SCF,956,440,2,2015-03-03 19:29:57.000,2018-01-26 11:54:50.870,5,2015-01-01 00:00:00.000,NULL,2025-11-11 15:30:01.287,NULL,NULL
1996,SAJ,1079,442,2,2015-03-04 09:34:13.000,2015-05-10 22:30:57.720,5,2015-01-01 00:00:00.000,NULL,2025-11-12 23:15:22.250,NULL,NULL
1997,SAL,1079,444,7,2015-03-04 09:41:10.000,2015-05-10 11:45:58.983,5,2015-01-01 00:00:00.000,NULL,2025-11-12 22:55:04.140,NULL,NULL
1998,5YJ,955,441,2,2015-03-04 12:48:16.543,NULL,6,2015-01-01 00:00:00.000,NULL,2025-11-11 06:30:06.620,NULL,NULL
1999,546,961,446,1,2015-03-05 08:39:50.000,2024-10-31 13:07:29.717,6,2015-01-01 00:00:00.000,NULL,2025-11-11 16:00:08.983,0,0
2000,ZAM,15956,443,2,2015-03-05 10:03:45.000,2021-09-13 12:35:26.447,9,2015-01-01 00:00:00.000,NULL,2025-11-11 22:35:01.573,NULL,NULL
2001,LAA,14273,447,1,2015-03-05 13:09:32.000,2020-06-09 14:42:04.843,8,2015-01-01 00:00:00.000,NULL,2025-11-10 21:15:02.563,NULL,NULL
2002,SCA,960,445,2,2015-03-05 14:24:52.863,NULL,5,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:05.507,NULL,NULL
2003,WDZ,964,449,5,2015-03-09 12:23:33.157,NULL,2,2015-01-01 00:00:00.000,NULL,2025-11-10 20:05:05.630,NULL,NULL
2004,WCD,1146,450,5,2015-03-09 12:24:46.000,2021-02-10 11:34:20.710,2,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:02.640,NULL,NULL
2005,WD4,1023,449,7,2015-03-09 12:27:20.000,2017-08-17 14:55:35.860,2,2015-01-01 00:00:00.000,NULL,2025-11-12 19:45:24.913,NULL,NULL
2006,WDR,1146,450,7,2015-03-09 12:30:29.000,2021-02-10 13:22:26.290,2,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:04.873,NULL,NULL
2007,WD3,1023,449,3,2015-03-09 12:31:08.000,2017-08-17 14:57:01.660,2,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:02.797,NULL,NULL
2008,WDY,1146,450,3,2015-03-09 12:32:03.000,2021-02-10 12:07:45.393,2,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:05.080,NULL,NULL
2009,WDA,1023,449,10,2015-03-09 12:32:51.000,2017-08-17 14:57:20.223,2,2015-01-01 00:00:00.000,NULL,2025-11-11 23:25:09.370,NULL,NULL
2010,WDP,1146,450,10,2015-03-09 12:33:36.000,2024-11-01 18:14:49.673,2,2015-01-01 00:00:00.000,NULL,2025-11-10 21:55:04.743,0,0
