WMI,Manufacturer,URL
AAA,Audi South Africa made by Volkswagen of South Africa,https://en.wikipedia.org/wiki/Audi
AAK,FAW Vehicle Manufacturers SA (PTY) Ltd.,https://en.wikipedia.org/wiki/FAW_Group
AAM,MAN Automotive (South Africa) (Pty) Ltd. includes VW Truck & Bus,https://en.wikipedia.org/wiki/MAN_Truck_%26_Bus#CKD-locations; https://en.wikipedia.org/wiki/Volkswagen_Caminh%C3%B5es_e_%C3%94nibus
AAV,Volkswagen of South Africa,https://en.wikipedia.org/wiki/Volkswagen_of_South_Africa
ABJ,Mitsubishi Colt & Triton pickups made by Mercedes-Benz South Africa 1994–2011,https://en.wikipedia.org/wiki/Mitsubishi_Triton; https://en.wikipedia.org/wiki/Mercedes-Benz_South_Africa
ABJ,Mitsubishi Fuso made by Daimler Trucks & Buses Southern Africa,https://en.wikipedia.org/wiki/Fuso_(company)
ABM,BMW Southern Africa,https://en.wikipedia.org/wiki/BMW
ACV,Isuzu Motors South Africa 2018-,https://en.wikipedia.org/wiki/Isuzu_Trucks_South_Africa
AC5,Hyundai Automotive South Africa (cars),https://en.wikipedia.org/wiki/Hyundai_Automotive_South_Africa
ADD,UD Trucks Southern Africa (Pty) Ltd,https://en.wikipedia.org/wiki/UD_Trucks
ADM,General Motors South Africa includes Isuzu through 2018,https://en.wikipedia.org/wiki/General_Motors_South_Africa
ADN,Nissan South Africa (Pty) Ltd,https://en.wikipedia.org/wiki/Nissan_South_Africa
ADR,Renault Sandero made by Nissan South Africa (Pty) Ltd,https://en.wikipedia.org/wiki/Renault_Sandero; https://en.wikipedia.org/wiki/Nissan_South_Africa
ADX,Tata Automobile Corporation (SA) Ltd.,https://en.wikipedia.org/wiki/Tata_Motors
AFA,Ford Motor Company of Southern Africa & Samcor,https://en.wikipedia.org/wiki/Ford_Motor_Company_of_Southern_Africa; https://en.wikipedia.org/wiki/Samcor
AFB,Mazda BT-50 made by Ford Motor Company of Southern Africa,https://en.wikipedia.org/wiki/Mazda_BT-50; https://en.wikipedia.org/wiki/Ford_Motor_Company_of_Southern_Africa
AHH,Hino South Africa,https://en.wikipedia.org/wiki/Hino_Motors
AHM,Honda Ballade made by Mercedes-Benz South Africa 1982–2000,https://en.wikipedia.org/wiki/Honda_Civic; https://en.wikipedia.org/wiki/Mercedes-Benz_South_Africa
AHT,Toyota South Africa Motors,https://en.wikipedia.org/wiki/Toyota_South_Africa_Motors
BAB,BMW cars 1986-2019,
BF9,KIBO Motorcycles,
CL9,Wallyscar,https://en.wikipedia.org/wiki/Wallyscar
CAG,MAC for Mobility Manufacturing (Mansour Automotive Group),
CAH,MAC for Mobility Manufacturing (Mansour Automotive Group),
DA1,Arab American Vehicles,
DA4,Arab American Vehicles,
DAA,Fiat Auto Egypt Industrial Co,https://en.wikipedia.org/w/index.php?title=Fiat_Auto_Egypt_Industrial_Co&action=edit&redlink=1
DAB,BMW Egypt SKD,https://en.wikipedia.org/w/index.php?title=BMW_Egypt_SKD&action=edit&redlink=1
DF9,Laraki,https://en.wikipedia.org/wiki/Laraki
GA1,Renault /SOMACOA - Société Malgache de Construction Automobile,https://en.wikipedia.org/wiki/Renault; https://en.wikipedia.org/w/index.php?title=SOMACOA_-_Soci%C3%A9t%C3%A9_Malgache_de_Construction_Automobile&action=edit&redlink=1
J81,Chevrolet/Geo car made by Isuzu,https://en.wikipedia.org/wiki/Chevrolet; https://en.wikipedia.org/wiki/Geo_(automobile); https://en.wikipedia.org/wiki/Isuzu
J87,Pontiac/Asüna car made by Isuzu for GM Canada,https://en.wikipedia.org/wiki/Pontiac_(automobile); https://en.wikipedia.org/wiki/As%C3%BCna; https://en.wikipedia.org/wiki/Isuzu
J8B,Chevrolet commercial trucks made by Isuzu,https://en.wikipedia.org/wiki/Chevrolet; https://en.wikipedia.org/wiki/Isuzu
J8C,Chevrolet commercial trucks made by Isuzu,https://en.wikipedia.org/wiki/Chevrolet; https://en.wikipedia.org/wiki/Isuzu
J8D,GMC commercial trucks made by Isuzu,https://en.wikipedia.org/wiki/GMC_(automobile); https://en.wikipedia.org/wiki/Isuzu
J8T,GMC commercial trucks made by Isuzu,https://en.wikipedia.org/wiki/GMC_(automobile); https://en.wikipedia.org/wiki/Isuzu
J8Z,Chevrolet pickup truck made by Isuzu,https://en.wikipedia.org/wiki/Chevrolet_LUV; https://en.wikipedia.org/wiki/Isuzu
JA3,Mitsubishi car,https://en.wikipedia.org/wiki/Mitsubishi_Motors
JA4,Mitsubishi MPV/SUV,https://en.wikipedia.org/wiki/Mitsubishi_Motors
JA7,Mitsubishi truck,https://en.wikipedia.org/wiki/Mitsubishi_Motors
JAA,Isuzu truck,https://en.wikipedia.org/wiki/Isuzu
JAB,Isuzu car,https://en.wikipedia.org/wiki/Isuzu
JAC,Isuzu SUV,https://en.wikipedia.org/wiki/Isuzu
JAE,Acura SLX made by Isuzu,https://en.wikipedia.org/wiki/Isuzu_Trooper#Acura_SLX; https://en.wikipedia.org/wiki/Isuzu
JAL,Isuzu commercial trucks & Chevrolet commercial trucks made by Isuzu 2016+ & Hino S-series truck made by Isuzu,https://en.wikipedia.org/wiki/Isuzu; https://en.wikipedia.org/wiki/Chevrolet; https://en.wikipedia.org/wiki/Isuzu; https://en.wikipedia.org/wiki/Hino_Motors; https://en.wikipedia.org/wiki/Isuzu_Elf
JAM,Isuzu commercial trucks,https://en.wikipedia.org/wiki/Isuzu
JB3,Dodge car made by Mitsubishi Motors,https://en.wikipedia.org/wiki/Dodge; https://en.wikipedia.org/wiki/Mitsubishi_Motors
JB4,Dodge MPV/SUV made by Mitsubishi Motors,https://en.wikipedia.org/wiki/Dodge; https://en.wikipedia.org/wiki/Mitsubishi_Motors
JB7,Dodge truck made by Mitsubishi Motors,https://en.wikipedia.org/wiki/Dodge; https://en.wikipedia.org/wiki/Mitsubishi_Motors
JC0,Ford brand cars made by Mazda,https://en.wikipedia.org/wiki/Ford_Motor_Company; https://en.wikipedia.org/wiki/Mazda
JC1,Fiat 124 Spider made by Mazda,https://en.wikipedia.org/wiki/Fiat_124_Spider_(2016); https://en.wikipedia.org/wiki/Mazda
JC2,Ford Courier made by Mazda,https://en.wikipedia.org/wiki/Ford_Courier#Mazda-based_models; https://en.wikipedia.org/wiki/Mazda
JD1,Daihatsu car,https://en.wikipedia.org/wiki/Daihatsu
JD2,Daihatsu SUV,https://en.wikipedia.org/wiki/Daihatsu
JD4,Daihatsu truck,https://en.wikipedia.org/wiki/Daihatsu
JDA,Daihatsu,https://en.wikipedia.org/wiki/Daihatsu
